latitude,longitude,port,mmsi,port_unique
53.402733,14.612267,0,245392000,0_0
53.4029,14.607242,0,477347800,0_0
53.402952,14.605528,0,250002903,0_0
53.49461,14.620038,1,209530000,1_0
53.495638,14.620948,1,304046000,1_0
53.563603,14.5903,2,311014100,2_0
53.564773,14.585603,2,2611800,2_0
53.890882,14.272438,3,261010170,3_0
53.895747,14.260345,3,261039360,3_0
53.895983,14.2567,4,261032010,4_0
53.900163,14.256667,4,210095000,4_0
53.909857,14.275822,5,255803870,5_0
53.912388,14.273873,5,261501000,5_0
53.919725,14.286513,6,2610800,6_0
53.92294,14.28433,6,992610802,6_0
53.953935,14.238888,7,210041000,7_0
53.959935,14.24566,7,304099000,7_0
53.973415,14.242827,8,209332000,8_0
53.981,14.244,8,257077550,8_0
54.015615,14.249042,9,992611330,9_0
54.016018,14.253108,9,992611340,9_0
54.01603,14.25309,9,992610800,9_0
54.046368,13.779917,10,218061750,10_0
54.049472,13.779918,10,211216570,10_0
54.092907,12.134333,11,211293510,11_0
54.093607,12.124142,11,211409660,11_0
54.11174,12.092367,12,211226140,12_0
54.119803,12.086663,12,246388000,12_0
54.123453,8.860527,13,211430000,13_0
54.12369,8.862487,13,211807040,13_0
54.125377,8.863088,13,314419000,13_0
54.125832,8.859713,13,211651920,13_0
54.126638,8.86367,13,211342220,13_0
54.127725,8.862807,13,211158000,13_0
54.142005,12.096778,14,230643000,14_0
54.145847,12.104598,14,355390000,14_0
54.146092,12.097703,14,265463000,14_0
54.146128,12.097883,14,265031000,14_0
54.145737,13.660163,15,211229440,15_0
54.14774,13.657363,15,258269500,15_0
54.147778,13.658357,15,258283000,15_0
54.149038,13.654932,15,241813000,15_0
54.146105,12.11234,16,211356520,16_0
54.146105,12.097703,16,265463000,16_0
54.146128,12.097882,16,265031000,16_0
54.146248,12.11277,16,218767000,16_0
54.146265,12.113093,16,211266470,16_0
54.146403,12.113582,16,211216500,16_0
54.146483,12.114055,16,211216490,16_0
54.150412,12.123315,16,218802000,16_0
54.150798,12.101538,16,265874000,16_0
54.15085,12.101533,16,218795000,16_0
54.150927,12.10167,16,211833390,16_0
54.150933,12.101698,16,210510000,16_0
54.151967,12.122335,16,246140000,16_0
54.152752,12.103505,16,304367000,16_0
54.149567,9.364225,17,255915614,17_0
54.149727,9.36219,17,209056000,17_0
54.152632,9.37449,17,211594520,17_0
54.152633,12.098133,18,211727510,18_0
54.15284,12.103517,18,304367000,18_0
54.15385,12.093083,18,211138490,18_0
54.153967,12.100867,18,219423000,18_0
54.154097,12.102987,18,244765000,18_0
54.154725,12.106897,18,246774000,18_0
54.155898,12.104323,18,211266470,18_0
54.155932,12.093067,18,211216490,18_0
54.15683,12.093093,18,218767000,18_0
54.156892,12.108337,18,305543000,18_0
54.157637,12.107778,18,244740080,18_0
54.159032,12.10486,18,265463000,18_0
54.160298,12.093967,18,211105560,18_0
54.153717,12.121333,19,211138490,19_0
54.154725,12.106897,19,246774000,19_0
54.155532,12.131243,19,218767000,19_0
54.155733,12.130033,19,276462000,19_0
54.15575,12.122253,19,211266470,19_0
54.156453,12.129218,19,275541000,19_0
54.156892,12.108337,19,305543000,19_0
54.157112,12.132367,19,244335000,19_0
54.157327,12.122028,19,255915583,19_0
54.157493,12.12195,19,305661000,19_0
54.157643,12.107668,19,244740080,19_0
54.157823,12.128217,19,211216490,19_0
54.162005,12.093788,20,211230570,20_0
54.165515,12.096197,20,211216500,20_0
54.165752,12.095192,20,211216490,20_0
54.171692,12.092182,21,269112910,21_0
54.17223,12.092795,21,211215210,21_0
54.176415,12.097102,21,211881570,21_0
54.176418,12.097092,21,211222800,21_0
54.176623,12.097118,21,211624870,21_0
54.176662,12.097157,21,211624750,21_0
54.178755,12.088387,21,211205810,21_0
54.179655,12.087513,21,211549160,21_0
54.174917,12.120233,22,211815680,22_0
54.17619,12.124648,22,211316340,22_0
54.180007,12.101597,23,218000630,23_0
54.180497,12.097613,23,211601590,23_0
54.180595,12.10193,23,211378700,23_0
54.181017,12.087245,23,211590700,23_0
54.244392,9.614417,24,211187510,24_0
54.2444,9.61436,24,211265610,24_0
54.315407,10.135007,25,218039370,25_0
54.3155,10.135717,25,211399920,25_0
54.317863,10.136762,25,266331000,25_0
54.319882,10.145347,25,211399000,25_0
54.3205,10.152048,26,211288300,26_0
54.323125,10.150853,26,211222710,26_0
54.32334,10.144973,26,211315270,26_0
54.353583,10.146125,27,211211850,27_0
54.35973,10.148178,27,211611070,27_0
54.359735,10.144958,27,211947000,27_0
54.360055,10.14771,27,211231520,27_0
54.361582,10.14672,27,211215730,27_0
54.36257,9.818727,28,211274960,28_0
54.36443,9.819458,28,211457700,28_0
54.362627,10.147747,29,211211330,29_0
54.365132,10.143905,29,211202400,29_0
54.365433,10.143755,29,218008130,29_0
54.365533,10.14136,29,211286440,29_0
54.365653,10.141772,29,212006000,29_0
54.365718,10.140352,29,246650000,29_0
54.365718,10.141882,29,245097000,29_0
54.365803,10.139922,29,210048000,29_0
54.365945,10.143668,29,265412000,29_0
54.36601,10.1416,29,246507000,29_0
54.366017,10.139758,29,211747930,29_0
54.366058,10.141283,29,275541000,29_0
54.366117,10.14121,29,277550000,29_0
54.366547,10.140203,29,211611070,29_0
54.3702,10.155867,29,211222710,29_0
54.371083,12.728902,30,211411230,30_0
54.371202,12.728412,30,211771340,30_0
54.371205,12.721345,30,211180590,30_0
54.37142,12.728783,30,211543450,30_0
54.37171,10.15764,31,211570140,31_0
54.37321,10.158163,31,211219990,31_0
54.37234,10.990925,32,211212690,32_0
54.372837,11.00562,32,211264670,32_0
54.373225,10.98528,32,211477060,32_0
54.373313,10.984438,32,218037430,32_0
54.373513,10.983093,32,211226940,32_0
54.421367,11.1917,33,211227550,33_0
54.421525,11.190252,33,211516210,33_0
54.43149,12.690628,34,211817600,34_0
54.431628,12.690998,34,211543850,34_0
54.43433,16.387727,35,261027890,35_0
54.4368,16.386795,35,261012530,35_0
54.437565,16.387265,35,261008020,35_0
54.437852,16.384338,35,261185762,35_0
54.45908,12.57178,36,211460410,36_0
54.459192,12.571915,36,211460690,36_0
54.463687,7.64274,37,257759000,37_0
54.470833,7.64055,37,992111855,37_0
54.465525,9.859427,38,211211460,38_0
54.472963,9.859748,38,211212200,38_0
54.469628,9.036887,39,211634540,39_0
54.470072,9.036592,39,211493380,39_0
54.470915,9.036145,39,211379770,39_0
54.47109,9.034875,39,244677000,39_0
54.472148,9.035998,39,211796430,39_0
54.472213,9.029042,39,218037720,39_0
54.472312,9.028483,39,211209290,39_0
54.472318,9.037628,39,211152520,39_0
54.472408,9.038385,39,211731030,39_0
54.472453,9.02761,39,211294830,39_0
54.472573,9.040173,39,305502000,39_0
54.4726,9.026783,39,211291160,39_0
54.4727,9.02635,39,211291150,39_0
54.472992,9.046088,39,218030430,39_0
54.473228,9.045585,39,211667470,39_0
54.473332,9.043828,39,211317290,39_0
54.473363,9.045258,39,211398000,39_0
54.47384,9.043358,39,211243440,39_0
54.471933,7.739167,40,992111852,40_0
54.478203,7.736277,40,992111899,40_0
54.477718,13.597823,41,377603000,41_0
54.47797,13.597607,41,255805280,41_0
54.480733,13.597308,41,215888000,41_0
54.481902,13.58608,41,236111817,41_0
54.484142,13.589,41,210052000,41_0
54.497515,8.807347,42,211405010,42_0
54.497977,8.806988,42,211255580,42_0
54.499997,7.643088,43,992111895,43_0
54.506383,7.641017,43,992111974,43_0
54.50195,11.226067,44,219000429,44_0
54.502583,11.226733,44,211190000,44_0
54.5026,11.226733,44,211188000,44_0
54.502617,11.226767,44,219000431,44_0
54.50293,11.230348,44,211757540,44_0
54.571793,11.928687,45,219024178,45_0
54.571973,11.928778,45,219022256,45_0
54.572072,11.930025,45,219002764,45_0
54.572123,11.928812,45,232003652,45_0
54.572285,11.930557,45,219029703,45_0
54.572333,11.929967,45,219023945,45_0
54.572365,11.928368,45,219009338,45_0
54.573633,11.92475,45,219423000,45_0
54.57365,11.924717,45,211727510,45_0
54.582083,11.372248,46,244475000,46_0
54.584592,11.375132,46,218197000,46_0
54.584935,11.371438,46,205196000,46_0
54.585612,11.371175,46,235116828,46_0
54.588978,11.371885,46,255915769,46_0
54.589933,11.366163,46,246702000,46_0
54.59022,11.364743,47,246702000,47_0
54.590343,11.363477,47,218197000,47_0
54.593828,11.332137,48,992111801,48_0
54.597217,11.319322,48,992111803,48_0
54.599913,11.337158,48,992111799,48_0
54.603622,11.324328,49,992111794,49_0
54.60982,11.329493,49,992111795,49_0
54.606177,11.342528,50,992111798,50_0
54.60982,11.329493,50,992111795,50_0
54.612442,11.347657,50,992111797,50_0
54.627155,8.392735,51,218047870,51_0
54.629138,8.398818,51,211782080,51_0
54.62916,8.398838,51,211551940,51_0
54.629237,8.399108,51,211222960,51_0
54.631618,8.38331,51,211169660,51_0
54.631835,8.382907,51,211548430,51_0
54.631857,8.3812,51,211224320,51_0
54.631927,8.38116,51,211673560,51_0
54.635175,11.3862,52,245693000,52_0
54.635188,11.38629,52,246607000,52_0
54.635488,11.38699,52,244582000,52_0
54.636342,11.388553,52,255915769,52_0
54.636357,11.387315,52,244475000,52_0
54.636667,11.387817,52,245875000,52_0
54.63677,11.387857,52,218197000,52_0
54.636783,11.388085,52,209535000,52_0
54.63702,11.381103,52,244890000,52_0
54.637358,11.373933,52,246925000,52_0
54.637658,11.377617,52,246702000,52_0
54.637687,11.373802,52,245489000,52_0
54.637862,11.386523,52,245043000,52_0
54.637905,11.373597,52,244750806,52_0
54.638038,11.373708,52,244468000,52_0
54.638063,11.37365,52,235116828,52_0
54.638303,11.37348,52,235091458,52_0
54.63851,11.374735,52,205210000,52_0
54.638883,11.38098,52,205214000,52_0
54.638905,11.376638,52,219033077,52_0
54.63891,11.373217,52,219032896,52_0
54.63901,11.373193,52,219032788,52_0
54.639987,11.37602,52,219031274,52_0
54.64137,11.375367,52,992111010,52_0
54.6529,11.35025,53,219000429,53_0
54.653417,11.3499,53,211190000,53_0
54.653417,11.349917,53,211188000,53_0
54.65345,11.34995,53,219000431,53_0
54.65441,11.347125,53,245693000,53_0
54.654913,11.348293,53,219448000,53_0
54.655015,11.348383,53,219472000,53_0
54.655065,11.348848,53,219016577,53_0
54.655205,11.348848,53,970015011,53_0
54.655253,11.34805,53,219018788,53_0
54.655313,11.34797,53,219016665,53_0
54.655803,11.347818,53,244860678,53_0
54.656177,11.347735,53,219007462,53_0
54.656328,11.347945,53,219021596,53_0
54.656508,11.348238,53,304855000,53_0
54.656542,11.35103,53,219299000,53_0
54.65656,11.349922,53,246607000,53_0
54.656612,11.348625,53,219033221,53_0
54.656838,11.348955,53,219028973,53_0
54.657337,11.349707,53,219000155,53_0
54.659895,9.934473,54,211147180,54_0
54.660268,9.934455,54,211797460,54_0
54.660583,10.021017,55,211800420,55_0
54.661158,10.020133,55,211866190,55_0
54.681895,9.991122,56,211800420,56_0
54.682167,9.9915,56,211517200,56_0
54.682302,9.992113,56,211519000,56_0
54.692395,8.572427,57,211552710,57_0
54.692567,8.577495,57,211782080,57_0
54.692583,8.572633,57,211223310,57_0
54.692682,8.577737,57,211222960,57_0
54.692832,8.57332,57,211757470,57_0
54.693148,8.57639,57,211551940,57_0
54.730382,8.689798,58,211782080,58_0
54.73039,8.690153,58,211222960,58_0
54.730408,8.689803,58,211551940,58_0
54.730782,8.687882,58,211673560,58_0
54.750697,10.671415,59,220317000,59_0
54.750833,10.670655,59,219029577,59_0
54.751168,10.67122,59,219015338,59_0
54.751195,10.670552,59,219000881,59_0
54.751413,10.671865,59,219016667,59_0
54.7574,8.294517,60,211291170,60_0
54.758337,8.294622,60,211413470,60_0
54.758692,8.295,60,211101000,60_0
54.7587,8.2947,60,211363300,60_0
54.758783,8.2947,60,211364330,60_0
54.7754,8.328167,61,211364330,61_0
54.777133,8.333417,61,211363300,61_0
54.777285,8.332808,61,211101000,61_0
54.793762,9.434058,62,203247191,62_0
54.79454,9.433735,62,211736820,62_0
54.79499,9.43311,62,211588580,62_0
54.795015,9.433297,62,211462260,62_0
54.809103,9.454055,63,211284050,63_0
54.810283,9.454625,63,211798910,63_0
54.810333,9.454148,63,211812920,63_0
54.810433,9.45739,63,244020613,63_0
54.814058,9.45551,63,211570140,63_0
54.816033,11.017953,64,219013192,64_0
54.816197,11.017857,64,220000057,64_0
54.816517,11.01735,64,219007746,64_0
54.817097,11.016667,64,219007155,64_0
54.828005,11.135983,65,251848740,65_0
54.829772,11.123567,65,219005979,65_0
54.830405,11.123037,65,219002392,65_0
54.830883,11.130835,65,219015579,65_0
54.831,11.123838,65,210852000,65_0
54.833152,11.124657,65,219002656,65_0
54.830563,11.120288,66,219015579,66_0
54.831,11.123838,66,210852000,66_0
54.832227,11.113425,66,219007421,66_0
54.833152,11.124657,66,219002656,66_0
54.833458,11.121332,66,219006152,66_0
54.833527,11.121093,66,219026661,66_0
54.833583,11.121063,66,219016668,66_0
54.8336,11.121035,66,219023811,66_0
54.831425,11.093813,67,219027755,67_0
