port,latitude,longitude,mmsis_in_port,port_cluster
26_3,55.424557050298986,13.823580086145657,210174000,0
26_3,55.424557050298986,13.823580086145657,311000330,0
26_3,55.424557050298986,13.823580086145657,209911000,0
26_3,55.424557050298986,13.823580086145657,210095000,0
26_3,55.424557050298986,13.823580086145657,209864000,0
26_3,55.424557050298986,13.823580086145657,265513470,0
26_3,55.424557050298986,13.823580086145657,265768850,0
26_3,55.424557050298986,13.823580086145657,265724000,0
26_3,55.424557050298986,13.823580086145657,219028133,0
26_3,55.424557050298986,13.823580086145657,266334000,0
17_8,57.12085283767473,8.598047216589839,211789180,1
17_8,57.12085283767473,8.598047216589839,220257000,1
17_8,57.12085283767473,8.598047216589839,257088050,1
17_8,57.12085283767473,8.598047216589839,211789170,1
17_8,57.12085283767473,8.598047216589839,219024411,1
17_8,57.12085283767473,8.598047216589839,219023588,1
17_8,57.12085283767473,8.598047216589839,219709000,1
17_8,57.12085283767473,8.598047216589839,220182000,1
17_8,57.12085283767473,8.598047216589839,218162000,1
17_8,57.12085283767473,8.598047216589839,219959000,1
17_8,57.12085283767473,8.598047216589839,219015186,1
17_8,57.12085283767473,8.598047216589839,219829000,1
17_8,57.12085283767473,8.598047216589839,219005671,1
17_8,57.12085283767473,8.598047216589839,219018486,1
17_8,57.12085283767473,8.598047216589839,219996000,1
17_8,57.12085283767473,8.598047216589839,219001587,1
17_8,57.12085283767473,8.598047216589839,219030200,1
17_8,57.12085283767473,8.598047216589839,219007404,1
17_8,57.12085283767473,8.598047216589839,219944000,1
17_8,57.12085283767473,8.598047216589839,219010487,1
17_8,57.12085283767473,8.598047216589839,219005953,1
17_8,57.12085283767473,8.598047216589839,219000934,1
17_8,57.12085283767473,8.598047216589839,219007967,1
17_8,57.12085283767473,8.598047216589839,219002136,1
17_8,57.12085283767473,8.598047216589839,220071000,1
17_8,57.12085283767473,8.598047216589839,219000827,1
17_8,57.12085283767473,8.598047216589839,219013968,1
17_8,57.12085283767473,8.598047216589839,219004307,1
17_8,57.12085283767473,8.598047216589839,219005929,1
17_8,57.12085283767473,8.598047216589839,219005931,1
17_8,57.12085283767473,8.598047216589839,219005513,1
17_8,57.12085283767473,8.598047216589839,219007925,1
17_8,57.12085283767473,8.598047216589839,219010247,1
17_8,57.12085283767473,8.598047216589839,219005893,1
17_8,57.12085283767473,8.598047216589839,219244000,1
17_8,57.12085283767473,8.598047216589839,219001569,1
17_8,57.12085283767473,8.598047216589839,219004259,1
17_8,57.12085283767473,8.598047216589839,219837000,1
17_8,57.12085283767473,8.598047216589839,219014162,1
17_8,57.12085283767473,8.598047216589839,219010818,1
17_8,57.12085283767473,8.598047216589839,219024924,1
17_8,57.12085283767473,8.598047216589839,219031866,1
17_8,57.12085283767473,8.598047216589839,219005909,1
17_8,57.12085283767473,8.598047216589839,219007401,1
17_8,57.12085283767473,8.598047216589839,219005763,1
17_8,57.12085283767473,8.598047216589839,219011885,1
17_8,57.12085283767473,8.598047216589839,219005454,1
17_4,55.59286423028324,12.6787918899747,219022307,2
17_4,55.59286423028324,12.6787918899747,970258597,2
17_4,55.59286423028324,12.6787918899747,219027738,2
17_4,55.59286423028324,12.6787918899747,219024176,2
17_4,55.59286423028324,12.6787918899747,219024675,2
17_4,55.59286423028324,12.6787918899747,219000174,2
17_4,55.59286423028324,12.6787918899747,219001063,2
17_4,55.59286423028324,12.6787918899747,219003452,2
17_4,55.59286423028324,12.6787918899747,219024402,2
14_6,56.15332029799514,10.235926890890234,219029751,3
14_6,56.15332029799514,10.235926890890234,210167000,3
14_6,56.15332029799514,10.235926890890234,219836000,3
14_6,56.15332029799514,10.235926890890234,219002416,3
14_6,56.15332029799514,10.235926890890234,305411000,3
14_6,56.15332029799514,10.235926890890234,219030184,3
30_3,55.45237929398178,8.450441795357937,995750020,4
30_3,55.45237929398178,8.450441795357937,219298000,4
30_3,55.45237929398178,8.450441795357937,995750022,4
30_3,55.45237929398178,8.450441795357937,246575000,4
30_3,55.45237929398178,8.450441795357937,219009101,4
30_3,55.45237929398178,8.450441795357937,246819000,4
30_3,55.45237929398178,8.450441795357937,244643000,4
30_3,55.45237929398178,8.450441795357937,246818000,4
30_3,55.45237929398178,8.450441795357937,238056000,4
30_3,55.45237929398178,8.450441795357937,995750021,4
17_0,54.15064212004169,9.366968153855368,255915614,5
17_0,54.15064212004169,9.366968153855368,209056000,5
17_0,54.15064212004169,9.366968153855368,211594520,5
34_5,55.88528050172127,12.547492506289752,219024705,6
34_5,55.88528050172127,12.547492506289752,219027828,6
34_5,55.88528050172127,12.547492506289752,219033187,6
34_5,55.88528050172127,12.547492506289752,219023030,6
28_10,57.688276299769,10.711941242541744,219022300,7
28_10,57.688276299769,10.711941242541744,241800000,7
28_10,57.688276299769,10.711941242541744,538010264,7
28_10,57.688276299769,10.711941242541744,220614000,7
15_3,55.2992748953827,10.808362867537646,219997000,8
15_3,55.2992748953827,10.808362867537646,982190006,8
15_3,55.2992748953827,10.808362867537646,219166000,8
15_3,55.2992748953827,10.808362867537646,219012076,8
15_3,55.2992748953827,10.808362867537646,219006563,8
15_3,55.2992748953827,10.808362867537646,219028267,8
15_3,55.2992748953827,10.808362867537646,219012073,8
21_7,56.68240869394517,8.229746228840682,249127000,9
21_7,56.68240869394517,8.229746228840682,244116000,9
21_7,56.68240869394517,8.229746228840682,211686000,9
21_7,56.68240869394517,8.229746228840682,219024185,9
21_7,56.68240869394517,8.229746228840682,219033326,9
