latitude,longitude,port,mmsi
55.972148,11.37069,0,219023648
55.972148,11.370555,0,219033013
55.972182,11.368482,0,219024604
55.97229,11.367738,0,219016615
55.972437,11.368572,0,219030656
55.972488,11.368645,0,185476224
55.972697,11.366762,0,219006331
55.973868,11.29952,1,219705000
55.97393,11.299648,1,219018172
55.97396,11.299573,1,219022903
55.991453,12.743303,2,265772310
55.991855,12.74661,2,265712190
55.993142,12.744378,2,265522730
55.99324,12.744427,2,265754450
55.994148,12.74339,2,265023550
55.99464,12.743808,2,265725520
55.997943,8.133628,3,219024651
55.998587,8.128703,3,219023521
55.99908,8.129602,3,219009763
55.999175,8.129287,3,219009042
55.999533,8.129,3,219018493
55.999778,8.129583,3,219027988
55.999935,8.123938,3,235003400
56.00004,8.124327,3,235008380
56.000188,8.12345,3,261004881
56.000195,8.124113,3,219922000
56.000433,8.13088,3,219001039
56.000465,8.128875,3,219002786
56.00049,8.1247,3,219862000
56.000512,8.124717,3,220283000
56.000523,8.12467,3,220623000
56.000895,8.131197,3,219011224
56.000912,8.130297,3,219014012
56.000925,8.125278,3,261003012
56.001052,8.125745,3,219000186
56.00108,8.131898,3,235074473
56.001137,8.13121,3,219034015
56.001158,8.13088,3,219460000
56.001247,8.127578,3,219014519
56.00128,8.127597,3,219017784
56.001282,8.131067,3,219034014
56.00296,8.12193,3,219034345
56.003978,8.123163,3,219021428
56.004103,8.123677,3,220383000
56.004763,8.123168,3,219001181
56.001232,8.117498,4,219313000
56.001232,8.131317,4,219034015
56.001232,8.130912,4,219460000
56.001232,8.130345,4,219011224
56.001238,8.131628,4,235074473
56.001247,8.127578,4,219014519
56.001282,8.131067,4,219034014
56.001283,8.127597,4,219017784
56.001798,8.126963,4,219027988
56.00296,8.121933,4,219034345
56.003353,8.124213,4,219862000
56.00362,8.121277,4,261003012
56.003678,8.121248,4,261004881
56.003722,8.122813,4,220623000
56.00389,8.123597,4,219922000
56.003978,8.123163,4,219021428
56.00406,8.124017,4,220283000
56.004105,8.123672,4,220383000
56.004625,8.122582,4,219031087
56.004767,8.123308,4,219001181
56.005118,8.121763,4,219001275
56.005207,8.122408,4,219018636
56.005228,8.1216,4,219034290
56.005442,8.122297,4,219024698
56.005595,8.120237,4,219002838
56.022698,12.688677,5,219027899
56.025415,12.700827,5,265182000
56.02847,12.69386,5,265504690
56.02866,12.69362,5,220476000
56.028817,12.69299,5,265504660
56.028897,12.694198,5,305411000
56.029607,12.691902,5,305540000
56.032592,12.617425,6,219622000
56.032593,12.617408,6,265041000
56.032608,12.617402,6,219230000
56.033862,12.616662,6,219000368
56.033897,12.615683,6,219014974
56.034467,12.615983,6,219024336
56.036817,12.61569,6,219002955
56.03717,12.615263,6,219002956
56.037445,12.614995,6,219006478
56.038177,12.617218,6,219012275
56.0405,12.613692,6,219031891
56.041642,12.613242,7,219001214
56.041657,12.6134,7,219019621
56.041675,12.613153,7,219005904
56.042038,12.613568,7,219030580
56.042248,12.612498,7,219025821
56.043118,12.614088,7,219018733
56.043145,12.612922,7,219025067
56.042517,12.68785,8,265041000
56.043175,12.691098,8,219622000
56.043233,12.691138,8,219230000
56.043748,12.69066,8,219000368
56.044717,12.687713,8,265504660
56.04474,12.687913,8,265504690
56.045167,12.69157,8,219014974
56.045592,12.686908,8,220476000
56.045912,12.686673,8,219027899
56.049538,12.684692,8,265563720
56.099395,15.473945,9,265631550
56.100885,15.475255,9,265605850
56.102727,15.474918,9,265820810
56.125772,12.313328,10,219017327
56.125975,12.309073,10,219007314
56.126052,12.311325,10,219385000
56.126128,12.309713,10,219008361
56.126182,12.30936,10,219028878
56.126242,12.309087,10,219005969
56.12629,12.31017,10,219001624
56.126297,12.312097,10,219032031
56.126333,12.309333,10,219012302
56.126428,12.311278,10,312994000
56.126432,12.309038,10,219015418
56.126557,12.310213,10,219005385
56.126693,12.310058,10,258027740
56.126733,12.30999,10,219024815
56.126805,12.308997,10,219005921
56.126807,12.310908,10,219029576
56.126845,12.309968,10,219002998
56.126965,12.309102,10,219000897
56.126982,12.309293,10,219002409
56.127043,12.309707,10,219001604
56.127043,12.310147,10,220076000
56.127077,12.310288,10,219004128
56.127348,12.309865,10,220336000
56.127497,12.30948,10,220356000
56.127642,12.308985,10,219004203
56.128095,12.308208,10,219000611
56.128188,12.308915,10,219024177
56.137253,10.213035,11,219021119
56.138165,10.215252,11,219008177
56.139205,10.216748,11,219030216
56.143615,10.224307,11,212900000
56.143668,10.224377,12,212900000
56.147542,10.21617,12,314475000
56.147958,10.224147,12,248483000
56.148733,10.224517,12,219005477
56.149813,10.219492,12,246354000
56.150342,10.215375,12,220068000
56.150825,10.2159,12,219000175
56.151118,10.2208,12,228442700
56.150458,10.690875,13,219025236
56.150933,10.689237,13,219031366
56.151543,10.690058,13,219018456
56.151295,10.235113,14,219029751
56.151367,10.236067,14,210167000
56.1531,10.2384,14,219836000
56.154067,10.239717,14,219002416
56.154637,10.242032,14,305411000
56.155455,10.224232,14,219030184
56.152087,10.254608,15,219022903
56.152095,10.254528,15,219705000
56.152155,10.251622,15,219005313
56.152333,10.251517,15,219005477
56.15266,10.253458,15,219018172
56.154067,10.239717,15,219002416
56.154637,10.242032,15,305411000
56.154723,10.261083,15,219026261
56.15366,10.217255,16,219002416
56.153982,10.217738,16,219029751
56.154023,10.215365,16,219026261
56.154195,10.214417,16,219003879
56.154323,10.214757,16,219003249
56.155455,10.224232,16,219030184
56.15641,10.214585,16,219003485
56.15488,15.57733,17,265015000
56.155017,15.584108,17,265549210
56.155338,14.82648,18,229399000
56.156197,14.828962,18,265619980
56.156702,14.818368,18,311001602
56.15883,14.816315,18,209764000
56.161433,15.631945,19,268246900
56.168208,15.631523,19,257016000
56.161495,10.240237,20,219030184
56.164113,10.241045,20,219026261
56.164495,10.219175,21,219015161
56.164692,10.222447,21,219025783
56.169198,10.222997,21,219020587
56.19916,12.546037,22,265527470
56.199187,12.546298,22,265828500
56.207773,10.287182,23,219028066
56.207962,10.286107,23,219027506
56.208547,10.28632,23,219011894
56.20884,10.286153,23,219029769
56.267827,12.839872,24,265787380
56.26823,12.839617,24,265781150
